,product_title,product_category,review_body,review_headline,star_rating,total_votes,word_length
107,"Cootree Lightweight Sweatproof In-Ear Wireless Bluetooth Headphone headsets for Jogger, Running, Sports, Exercise, Workout - Black",Wireless,"I like the style, I have a large head but these fit and stay in place, and they're cheap (notice I said cheap, not inexpensive).<br /><br />If they didn't cost so little (especially for wireless) I would rate lower but for $23 I got what I paid for.  They'll replace my corded headset for doing physical work but only because I've had it with ripping corded phones out of my ears. They won't replace my corded phones while at the office though.<br /><br />The drivers lack bass and there's a slight tunnel effect to the audio.  This is however my first Bluetooth headset so that may be typical. These are meant for wireless convenience and I'll give the sound quality a pass at this price point - they do what is necessary of them.  All of the buttons besides the MFB are conveniently placed and easy to use, but the MFB button is located towards the inside of the earbud instead of the back so you have to almost pull the the earbud out to access it - especially with the rubber &#34;waterproofers&#34; installed.<br /><br />I can't attest yet to the battery life.  If they last 5 hours at a time I'll be happy.<br /><br />The start/stop feature stops working occasionally and I have to unlock my phone before I can stop the music from the headset.  This may be an issue with my phone though, a Moto G first-gen.<br /><br />And finally the rubber buds were all but useless.  In the attached picture you'll see of the buds that came on the headphones (to the farthest right in the picture), one was larger (top) than the other (bottom).  And then the other 2 sets were defective in that the &#34;rim&#34; that attaches to the stem of the headphones is at the front of the earbuds instead of the back.  For instance if you look at the earbuds to the right of the picture (the ones that came on the headset) you'll notice (or not) the black rim is in the back.  But the other 2 sets (left and center) you'll notice the front of the buds are dark - that is the rim which is supposed to be in the back.So these other 2 sets only attach if you put them on backwards, i.e. with the &#34;output&#34; hole onto the stem.  I docked a star for this and thought about RMA'ing but because of shipping/handling charges and the fact that I have other rubber buds from other sets I've purchased in the past, I didn't bother.<br /><br />I was hoping for more but got about what I expected.  My biggest disappointment was in the defective rubber buds.","They're ""Ok""",3,0,459
108,"Bamboo Wireless Charger, YeeSite Qi Charging Pad for Samsung S6 / S6 Edge / S6 Edge Plus / Note 5, Nexus 4 / 5 / 6 / 7 (2013), Nokia Lumia 920, LG Optimus Vu2, HTC 8X / Droid DNA and All Qi-Enabled Devices - 62003",Wireless,"Works and looks great. Charging is a bit slow, but I use it to charge my phone overnight on the night stand.",Works and looks great. Charging is a bit slow,4,0,22
115,Silk Vault Slim Wallet for iPhone 6,Wireless,"Best investments iPhone case wise. No longer do I carry my wallet and cash. Just my DL, American Express and 2 Debit cards.",Puuuuuuuuuurfect!!!,5,0,23
116,Garmin 1,Wireless,"Bought this unit to use in our travel trailer, as I assumed the RV-special features would keep us on the best roads.  Not so!  In just two weeks of use, this thing has told me to &#34;leave the road&#34; twice, and taken me to a gas station that hasn't been a gas station in years.  The first time I used it, I was in a familiar area, and if I hadn't known that the GPS was trying to take me down horse path (literally) I'd have been in trouble. I'm pretty disappointed at the accuracy, and the database is just 'so-so'.  And, it took 14 hours to &#34;update&#34; the database from my USB on my computer, which I did right out of the box.  May have been my PC (I don't think so), but that big of an update made me think it'd be accurate in terms of closed facilities and road accesses.  It's not.<br /><br />The feature that I do like is having rest stops, truck stops and available bathroom stops at the touch of a button (even if they're not terribly accurate), so we're going to keep the thing, rather than return it.<br /><br />I now run both this mediocre thing AND my Google Maps navigation on the smartphone at the same time, 'cause I don't completely trust the Garmin, but Maps doesn't have the one-touch access for stopping points.  Wish there was one unit that did everything we wanted... hard to believe in this age of technology that there isn't... :-(",Pretty Disappointed RVer,3,59,261
117,Virtual Reality Goggles Goggle Tech C1-Glass 3D Glasses for 3D Images & Videos on Android & iOS Smartphones,Wireless,"Good goggles without the frill of the later versions.  I have not compared to other cardboard goggles, but I would guess these are relatively high quality lenses, with plastic frames instead of cardboard.  I did not have any problems using them.  The lack of a visor to block outside light was not an issue.  I did feel a little carsick, though.  Because of the carsickness, I do not regret the lack of a headband.  My arms do not get tired from holding the apparatus for the short periods I feel comfortable using it.  And it feels more natural to be holding it to your face while turning around, rather than relying on a headband to hold cardboard against your face.",Good quality lenses without unnecessary frills,5,6,127
118,"Certified Scable（TM）3 Pack 8 Pin Lightning to USB Sync and Charging Cable Connector for iPhone 6 6 Plus, iPhone 5s 5 5c, iPod Touch 5th, Nano 7th, and iPad 4 Air Air 2 Mini with Authentication Chip Ensures Fast Charging and No Annoying Error Messages",Wireless,We have tried all of the cords in the pack.  They seem to work a couple of times and then they don't charge any longer. Really disappointed!,Really disappointed!,1,0,28
120,JAWBONE Up Move Activity Tracker,Wireless,"My daughter bought this for me, about 2 weeks ago.  This is a really great way to keep track of your activity level, especially since I am now semi-retired.  It gives me an extra nudge to &#34;get up, and keep moving.&#34;  I'm actually enjoying it more than I thought I would.",Even old farts like this!,4,0,54
121,"iPhone 6 Screen Protector, Maxboost [ 3 Pack ] iPhone 6 Tempered Glass Screen Protectors 0.2mm Ballistic Glass For Apple iPhone 6 4.7 inch ONLY and Work with most Protective Case",Wireless,I really liked this product. Very smooth feel - even better than actual screen. Which is strange because you would never say that about a condom. Anywho my opinion changed when a 36&#34; fall from my desk onto carpet caused the screen protector to crack. Very delicate.,Cracked after three weeks.,1,1,47
130,"Retractable iPhone Cable, Apple Certified Lightning Cable 3.3 feet [1 Meter] Charger for iPhone SE / 6s / 6s Plus / 6 / 6 Plus / 5 / iPad / iPad Pro /iPad Air / iPad Mini",Wireless,Works for 3 months and tip of cable stock in my phone. Contact saler told me have to ship the defectid item and then they raplace it. Not worth to buy,Works for 3 months and tip of cable stock in ...,1,4,31
132,For Alcatel OneTouch Idol 3 (5.5),Wireless,"First off, the seller was Great. Item arrived in a very timely manner. The actual materials of this 3 piece case appear to be very rugged. The only exception might be the belt clip (time will tell). However, once you put the silicone gel around the phone, then proceed to slide the phone into the middle bracing part, you have no way to avoid putting stress on the volume rocker and power buttons. You just have to work those buttons into the cutouts. If, like me, you choose to use the belt clip case, inserting and removing the phone can be a challenge. At first, I found myself accidentally taking screen shots because of the pressure being put on the power and volume rocker buttons while sliding the phone in and out of the belt clip case (very tight). Plus the gel covering tends to fold up when pulling phone out. The solution? Well, this is a &#34;flip screen phone,&#34; so I just put it into the belt clip case right side up even though I would rather put it in right side down (The reason: hand down at side to hand up at ear. Results when I pull the phone out, the phone goes from right side down in case to right side up at ear). Overall Pros: 1) Material used appear to be very durable. 2) Kickstand seems to work very well. Overall Cons: 1) Phone is tight in belt clip. 2) Silicone gel gets a lot of friction when putting in and pulling out of belt clip case. 3) Although silicone gel cover has some notches on the sides, feels a little slick. 4) Molded area for earphone plug isn't big enough for a complete flush connection. ... On a sidenote, I accidentally purchased the same two cases from two different sellers, thought I was ordering two DIFFERENT cases (my bad). Once again, not the worst case but could be better. Nothing against either seller, they were great!",Could be better!,3,4,331
134,"LG G4 Case, Diztronic Full Matte Soft Touch Flexible TPU Case for LG G4",Wireless,"I wish the bottom and top edges were a little more rigid, but the case works great. Fits great and very slim.",but the case works great. Fits great and very slim,5,0,22
135,"Fusion Excel® Box of 6 Shields - Cell Phone/Small Appliance EMF Protection. Includes Fusion Excel Authenticity & Registration Card with ""scratch"" ID and Password for Registration at FusionExcelIntl Website.",Wireless,I have been concerned about radiation (EMF and EMR) for some time now. This product blocks the radiation and was inexpensive and effective. I am very satisfied.,Concerned about Radiation EMF / EMR,5,4,27
142,OEM Original iPhone 5 Battery by Falcon iTech with Deluxe magnetic screwdriver repair kit,Wireless,"If I could, I will give it 0 star. I bought 2 days ago and was very happy to receive today. But when I opened it and found it was made in 2013. After installation, the battery was 34% full, 30 minutes later, it became 14% full. Then I used IbackupBot to check and found the battery already has 508 count cycles.  I can accept I bought a brand new defect product, but I can not accept I bought a used product when it was claimed &#34;brand new&#34;.","It is used when it is claimed "" brand new""",1,4,89
143,"iPhone 8 7 6S 6 Screen Protector, amFilm Premium Anti-Glare/Anti-Fingerprint Screen Protector for iPhone 8 7 6/6S 4.7 inch ATT Verizon T-mobile Sprint (3-Pack)",Wireless,"Very nice, smooth to touch. I usually have problems with regular plastic screen protectors. I accidentally scratch those, a bit of it will come off but since the matte is so smooth, it's impossible to scratch. Comes with three also so it's worth it!","Very nice, smooth to touch",5,0,44
148,"Apple iPhone 5C Case, Case Army Scratch-Resistant Slim Clear Case for Apple iPhone 5C | 5G Silicone Crystal Clear Shock-Dispersion Technology Cover with Bumper Rubber Case (Limited",Wireless,Very impressed with this case. It was exactly what I wanted without any of the added bulk other cases seem to have. It went on easy and fits the phone snug. It was exactly what I wanted!,Great case for the price!,5,0,37
161,SwitchEasy NUMBERS TPU Carring Case for iPhone 6 Plus,Wireless,"This is the 3rd time I have purchased the SwitchEasy Numbers case. It provides just enough protection without adding too much bulk to the iPhone 6+.  And it's the only case I know of that covers the power and headphone ports - important for me because I carry my phone in my pocket and the covers keep the lint out.  A little extra work when you want to charge your phone or connect to your car stereo, but totally worth it!","Best Low-Bulk, Port-Covering Case",5,2,83
162,Lg Tone Pro Hbs-750 Wireless Bluetooth Stereo Headphones Black Hbs750,Wireless,Don't waste your money or time buying them. They are fake and the connection is terrible. They don't stay charged long at all.,Terrible!,1,2,23
168,"SoundPEATS Bluetooth Headphones Sport Wireless Earbuds In-Ear Stereo Earphones with Mic (Bluetooth 4.1, 6 Hours Play-time, CVC 6.0 Noise Cancelling, IPX4 Sweatproof )",Wireless,I've purchased many items through Amazon and have never left reviews. This will be my first review in over 5 years because they are so good. I bought them to wear with my phone so I don't have a cord jammed between my fingers.  I compared the prices of other Web sites and went to best buy and these were the cheapest. I was expecting much less than what I received.  Well made with lots of ear fittings.<br />I've used some beats before and these are right up there with the sound quality. Expecially if your watching movies. I use them all the time and am extremely satisfied.,Best headphones I've ever owned,5,0,110
169,Nacodex® 9h Hardness Premium Tempered Glass Screen Protector Real Explosion-proof for Huawei Ascend Mate2 Mate 2 Ii 4g [Ps:the Design Is That the Glass Screen Protector Cover Camera.],Wireless,"This is an almost indestructible plastic cover, and almost no bubbles.  My copy created a permanent bubble around the rear-facing camera, I think because of the camera indention.  The OEM protector was cut around that camera.<br /><br />The first one arrived badly smashed - this is a ridged piece, not a thin film, and someone sat something heavy on it in-transit.  The second was intact and I like it.  It replaced the wimpy one that came on the phone, and within weeks had scratches on it.<br /><br />Forget those three-packs of thin film, this is the kind of protector that works.  Wonder if they make one for a Nikon....",The second was intact and I like it. It replaced the wimpy one that came ...,5,0,114
170,"NOOTPRODUCTS NDT33 Earbuds Mic Stereo, Volume Control and Noise Isolating Headphone, Green",Wireless,"Earphones only lasted a week before the cord started to fray and the wires become exposed.  Before that they were staticky and lost sound in one ear if I moved the device at all.  Unbelievable.  I guess you get what you pay for.  Waiting for a replacement pair of DECENT earphones now, will never buy these again.",Poor quality,1,0,61
171,Rotibox Sweatproof Bluetooth Headband Headphone Headset Earphone Audio Music Headband Speakerphone/Stereo Speaker & Microphone Hands-free for Gym Exercise Fitness Sports Running,Wireless,"There is always a slight buzzing but they are very comfortable to wear, I got them to listen to before I go to sleep so it isn't a huge deal.",Comfortable but has a constant buzzing sound,3,0,30
175,ExosArmor Carbon Series SoftGrip Silicon Shock-Absorbing Armor Holster Belt Clip Case with Screen Protector for Samsung Galaxy S5,Wireless,awful case. the screen protector got dust between it and the adhesive on the protector came loose within 3 weeks. the plastic inner part of the case started cracking and I didn't even drop it yet! I can't return it now that it is broken but i wish i could. Im just going to get an otter box commuter for better quality.,Don't waste your money. Get an Otter Box.,1,1,62
177,Pioneer APPRADIO4/Apple Carplay,Wireless,Great radio for the price. Awesome when it's paired with an apple device. Has a few small quirks but I can only imagine an upcoming update would take care of it. Tons of settings and user friendly.,Great radio for the price,5,0,37
178,"TaoTronics Bluetooth Wireless Earphones Sport Headphones Earbuds Headsets (Bluetooth 4.0, Delicate Sound, Build-in Mic, aptX, CVC 6.0 Noise-Cancelling)-Black",Wireless,"Pro: Size is convenient. Looks cool but not very functional.<br />Cons: Would not stay in my ears, I should not have to struggle just to get it in my ears. It should be as simple as 1,2,3, Go. Not, put it in, possible use a mirror to help with the positioning, hook the ear piece thing and hope it doesn't fall out when you actually start moving. Buttons are tiny, hard to feel when you want to change the volume. Also feels like it is raping my ear canal every time I need to move it ! No thanks, I'll stick with my LG's.",Nope.,1,1,104
179,Limefuel Lite Series,Wireless,Just finished using it while on a trip. Loved being able to keep my tablet operating while in flight.  It also indicates how much power is left.  No guessing game here.  Automatically turns off after using.,Perfect,5,0,39
182,Motorola Buds SF500 Universal Bluetooth Stereo Headset,Wireless,"These ear buds work as expected and the battery life is great, however the cords that attach the ear buds to the unit are too short even with the o-rings that secure them rolled back as far as they will go.  They are not so short that I cannot use the headseat, but they are short enough that I sometimes notice an annoying tug.","... buds work as expected and the battery life is great, however the cords that attach the ear buds ...",3,0,65
185,"Nexus 5 Screen Protector, Spigen [AIR CUSHION] [+Screen Shield] Google Nexus 5 Case ULTRA HYBRID Series [1 Premium Japanese Screen Protector Included + 2 Graphics] Scratch Resistant Bumper Case with Clear Back Panel for Nexus 5 - ECO-Friendly Package",Wireless,"It's a good looking case, but the clear window becomes scratched so easily that the case looks old before it's time. The good news is that it works with the charging pads better than my other case.<br /><br />The buttons are smooth on the sides and do not provide any tactile feedback. With gloves on, you cannot tell if you have pressed a button or not. So many times you will turn the screen on and off a couple times in a row. It's a decent case for a decent price.",It's a good looking case,3,0,91
188,LifeProof iPhone 6 - Fre Series,Wireless,"This case help if you just drop your phone, it does not protect prom the water at all, but on the box it says that this case can protect your phone under water around 6 feet deep for a 1 hour. This case is just waist of money. And yeah, they doesn't replace my phone, they just send me a new case. Why do I need a new case if my phone is not working?","This case help if you just drop your phone, ...",1,0,75
189,Skullcandy Soundmine Bluetooth Speaker,Wireless,Sounds pretty darn good. Could use a little more bass but for $20 it blows away everything else I've listened to,Great buy!,4,0,21
192,"Aduro - Apple Certified / MFi - USB to Lightning Long FLAT Charge & Sync Cable fits all Apple Devices with Lightning Connector - iPhone 5 / 5S / 5C / 6 / 6 Plus, iPad 4, iPad Mini, iPad Air, New iPod Touch and Nano (6 Feet / 1.8 Meters)",Wireless,I love this charger! I've been using it for over a month now and it's still intact and working well. I needed a long cable and this is what I've been looking for.,I love this charger!,5,0,33
196,iPhone 5C Case - Funny Vintage Retro Camera Apple iPhone 5C (Cheap IPhone 5) Waterproof TPU Back Cases Covers,Wireless,Love this case. It is made well. I've had it on my iPhone 5C for a long time. I have dropped it several times and it is protected and not broken yet.,great case very durable,5,0,32
197,iTaste MVP3 PRO - 60 Watt - Electronic Charger (60 Watt PRO Version - Silver),Wireless,"I love my Mvp pro 3.0 is a very good battery. There is some this to observe:  1 - I've bought this battery as a kit on Amazon 2 times from other seller and never came with the sub g tank so I bought again from this seller on the option with no tank and retuned the previous items.  2 - it's perfect for most of the tanks but you can read on the manual that will not do coils under 0.4 ohm. So pay attention on that!  3 - it's very easy to use, press the button 3 times to turn it on.  4 - always read the manuals online before to buy it or use it, follow the manual from your coils online to see how much voltage they can handle.  5 - never charge this device on the car or with cheap cables, it's not going to charge cause have protection against bad quality charges.",Excellent battery,5,21,163
198,"HTC One M8 Case, StarCity ® HTC One M8 (Model 2014) Luxury Leather Back Hard Case Cover with Card Holder Snap on Case",Wireless,"Expected the case to be of slightly better quality and the graphics on the phone to be more vivid but when I got it, the case looked very cheap and not to my liking. However, you get what you paid for.",Not as eye-catching in reality.,2,4,41
201,"Powerful Solar Power Bank - Zebora Two Solar Panels 10000mAh Portable Backup Solar Charger Dual USB Power Bank For iPhone 6, 6 Plus, 5s, 5c, 4s, 4, iPods, iPads, Samsung Galaxy Note 3, Note 4, Galaxy S5, S4, S3, LG G3, Nexus, HTC One M8, Gopro Camera, GPS and More Other USB-charged Devices",Wireless,Great for on the go. Its a bit smaller then my S6 works great and charges my phone fast..I have done the charging of two phones at once and did not have to charge them both together.,"Great for on the go, small compact",5,0,37
202,"[Apple MFi Certified] Skiva USBLink (3.2 ft / 1m) Lightning to USB Sync and Charge Cable with Slimmest Connector Head (8.5mm x 4.8mm) for iPhone 6 Plus, iPhone 6, iPhone 5s, iPhone 5c, iPhone 5, iPad Air 2, iPad Air, iPad (4th generation), iPad mini 3, iPad mini with Retina display, iPad mini, iPod touch (5th generation) and iPod nano (7th generation) [Model No.: CB101] - 1 Year Warranty",Wireless,"Just received my Skiva lightning cable and LOVE IT! It is made of a nice sturdy material, not the rubbery kind that usually falls apart quickly. It charged my phone quick and is a nice length. I don't have amazon prime and it was shipped extremely quickly. It even comes with a 1 year warranty.","Quality product, made to last",5,0,55
203,"Anker Portable Multi-Angle Stand for Tablets, e-readers and Smartphones, Compatible with iPhone X/8/8 Plus/7/7 Plus, Samsung Galaxy S8/S7/Note 8, iPad Pro 9.7/10.5/Air/mini, Pixel 2 and More",Wireless,"Arrived very quickly.  Was exactly what I expected.  Works well.  The only thing is you need to push a button to move the leg to the desired position which is fine, but if you do not push the button you could break.  After knowing this it is very easy to set to desired angle.","The only thing is you need to push a button to move the leg to the desired position which is fine, but if you do not push the bu",5,0,58
205,"6ft Durable Hi-Speed Braided Flat Noodle Lightning USB SYNC Cable Charger Cord for iPhone 6 / iPhone 6 Plus / iPhone 5 / iPhone 5C / iPhone 5S (Latest IOS Supported) iPad 4 / iPad Mini / iPad Air / iPad Air 2 / iPod Touch 5th Gen / iPod Nano 7th Gen, - 3PK",Wireless,Works until the accessory is not accepted on the iphone. I got maybe a months worth of use out of these before the iphone started rejecting the plug.,Accessory not compatible,2,2,28
211,LilGadgets Connect+ Premium Volume Limited Wired Headphones with SharePort for Children / Kids,Wireless,"My son loves these, I was impressed with the quality and features. I have had no problems, but the customer support team still reaches out to make sure everyone is enjoying the product.",Great Buy,5,0,33
213,Blue Parrot Xpress Headset - Retail Packaging - Black,Wireless,Returned it worked great but it showed an optional headset attachment which wasn't compatible with this model. I wanted the option to use this either way.,Ear bud only,3,0,26
215,"Leadtry® Water Proof 5000mah Solar Battery Panel Dual USB Port Rain-resistant, Dirtproof and Shockproof Portable Charger Backup External Battery Pack Power Bank Best Tool for Camping, Hiking, Traveling Suitable for Iphone 5s, 5c, 5, Iphone 4s, 4,ipad Air, Mini (Apple Adapters Not Included) Samsung Galaxy S5, S4, S3, S2, Note 3, Note 2, HTC New One, M7, Android Smartphone and Tablets, Window Phone",Wireless,"Did not work at all. I bought 2 of them. They did not hold a charge, and I had it in full sun. Don't buy this product. Not worth it.",no good,1,2,30
216,HTC One 32GB - Phone,Wireless,This phone worked for 1 week fine and after that started to reboot itself and to not recognize the sim card. DO NOT BUY IT FROM THIS COMPANY!!!!!!,This phone worked for 1 week fine and after that started to reboot itself and to ...,1,2,28
219,"Napoer Portable Rectangle Qi Enabled Wireless Charger Inductive Charging Pad Station for LG G4, Nexus 4 / 5 / 6 / 7 (2013), Xperia Z4 / Z3V, Samsung Galaxy S6 / S6 Edge, Note 4, Lumia 920 / 930 and Other Qi Wireless Charging Enabled Smartphones",Wireless,"Does it work? yes. Is it spotty? not the biggest deal, BUT, it makes a horrific high pitched noise when plugged in.If you have good hearing I wouldn't buy unless you want headaches, if your hearing is spotty, go for gold.",the high pitched noise is terrible \.,3,0,41
222,"Anker 6ft Nylon Braided USB Cable with Lightning Connector [Apple MFi Certified] for iPhone 6 / 6 Plus, iPad Air 2 and More (Silver)",Wireless,The original broke after about a month. I emailed Anker and they sent out a brand new one no questions asked within two days of our conversation. This is why i love Anker and always stick with them!,Anker is the only brand for my cable and battery needs!,5,0,38
223,Spigen Slim Armor CS iPhone 6 Plus Case with Slim Dual Layer Wallet Design and Card Slot Holder for iPhone 6S Plus / iPhone 6 Plus,Wireless,"Absolutely adore this case. Cute color, easy storage. Wish the front part of the case was white or same color blue though.",easy storage. Wish the front part of the case ...,5,0,22
227,iFlash 24W / 2.4A + 2.4A (4.8A max) Portable Dual-Port USB Car Charger With Built-in Micro USB Cable Compatible for Samsung Galaxy S6 Plus / S6 Edge / S6 S5 S4 S3 S2 Note 5 4 3 2/ HTC One M9 M8 M7/ Moto X G E/ LG G4 G3 G2 and Extra USB Port for Apple iPhone 6S Plus / 6 Plus / 6S / 6 / 5S 5C 5 4S/ iPad Air Mini 2 3 4 and More (Apple Cable Not Included) - (White),Wireless,"As a phone user, we all come across the issue of our phones dwindling battery life. On the go, it can be an immense problem if you come to the point of minimal battery life, and you don't have the tool to fix that, especially in emergency circumstances. Car chargers like this are of great help, because they allow you to secure your phone's battery life, while not taking up extensive amounts of space that could obstruct your tasks of shifting gears, etc. The product is very durable and well made, and it is not of cheap material. I highly recommend this for people who are on the go, but have important tasks to complete through phone usage.","Portable, durable, handy",5,0,118
228,iClever Charger,Wireless,"My husband and I got this before a trip recently. It was so useful and we are so glad we had it! Whenever our phone batteries got low, we plugged them into this power bank and they charged right up. The unit has a lot of power and is perfect for airplanes or day trips when you don't have constant access to a charger. We didn't have to conserve our phone batteries and were able to use our phones as we normally would, taking pictures, checking email, etc.  It has a little pouch that it fits into which was convenient. It is kind of an awkward size and would be inconvenient to carry around if you don't have a bag or a purse, since you need to have charging cables as well. I always carry large purses, so this wasn't a problem for us.  I like that this power bank has a power switch as well, and it tells you how much battery remains. It has a flashlight on it as well, which I don't think we really have used, but I guess it would be nice for trying to plug in your phone in the dark. We charged this power bank every night (by plugging it into the wall) and always had enough power for 2 smart phones throughout the day. So convenient that you can plug 2 devices in at once.  If you can get this for a good price, I would ABSOLUTELY recommend this portable battery charger to anyone who uses their phone constantly!",Must have!,5,6,260
231,"Moto G Case (1st Gen & 1st Gen with 4G LTE), Rock Me Wireless (TM) 3 items Bundle - Screen Protector, 24K Gold Plating Electromagnetic Waves Blocking Sticker and Heavy Duty Armor Protective Kick Stand Case for Motorola Moto G 1st Generation.",Wireless,I bought this case for my phone. I absolutely love it. I've had it about 6 myhs now and all the lil bling diamonds are all still in tact!!  💜,I absolutely love it. I've had it about 6 myhs now ...,5,1,31
234,Ringke FUSION for Samsung Galaxy S6 Edge,Wireless,"This fits over the Galaxy S6 Edge perfectly, without the added frustration of trying to stuff in an inner rubber bumper. Dropped it several feet while bike riding, and the case has a small dirty dent; but the phone is still in perfect condition. I haven't had the time to make my own backings, but the benefit of being able to change it whenever I want is awesome. While not a game changer; I just wish the website had a digital template to work off of instead of a flimsy paper stencil.",and the case has a small dirty dent; but the phone is still in perfect ...,5,0,92
235,"BLU Studio X, Unlocked Cell Phone",Wireless,"A great phone considering the price! Battery life is somewhat limited, but overall performance is excellent. The upgrade to Lollipop sent flawlessly and the phone has no other real issues.",Fantastic phone for a low price!,4,0,30
236,"Hallomall Nfc-enabled Bluetooth 4.0 Headphones with MIC Compatible with Iphone 6, 6plus, 5s, 5c, 4s, 4, Ipad 2 3 4, Android, Samsung Galaxy, Smart Phones and Other Bluetooth Devices",Wireless,"I really like these headsets, the fit well, and sound really good, the problem is that both pairs I ordered had the same problem, after a bout two weeks of use, they stopped taking a charge resulting in about five minutes of use when powering them on. Too bad.",I really like these headsets,1,0,49
237,"iCarez [Tempered Glass] Screen Protector for LG G3 Easy Install with Lifetime Replacement Warranty [1-Pack,0.3mm 2.5D 9H] - Retail Packaging",Wireless,"First day and so far I'm loving this.  I watched the video, read the directions and had no problem installing it.  The screen looks clear and perfect.",Pretty easy!,5,1,29
238,E LV Ultra Slim Case Premium Semi-transparent Super Lightweight / Exact Fit / Absolutely NO Bulkiness Soft Case for Apple Watch 38mm with 1 Microfiber Cleaning Cloth,Wireless,"The rubber case is thin but you always get what you pay for. If you want your watch just to look cute with minimal protection against scratches then get this one but if you're going to drop your watch then i'd say get a little more hardcore case. I love it though, happy with my purchase! might get a different color!",Its stylish but thin,5,1,61
239,Synthetic Leather Galaxy S6 Sleeve - Thin,Wireless,Quality looks good and prompt postage. You can't argue based on the good price.<br />Would be happy to recommend to others.,Exactly as described,5,0,21
240,High Capacity Portable Backup Battery Charger - Smartphone Battery Pack - Works perfect with iPhone 6 6Plus 5S 5C 5 4S iPad 3 4 Mini Air Samsung Galaxy S5 S5 Edge S4 S3 Note 4 Note 3 & More,Wireless,"I am notorious for losing my charger and having a dead or dying phone.  It can be especially frustrating when I need to make an important phone call or have to leave the house and I have an uncharged phone in the case of an emergency.  Having this backup battery charger can be so convenient!  It is so easy to use.  I plugged it up via usb to my laptop right out of the package to make sure that it was fully charged and then I just tossed it right into my purse.  I always know where it is and when I need to charge my phone with it I can just plug it up the the included cord and drop it right back into my purse.  It does a great job of quickly charging up my phone.  I like the red color!  The charger features a stip of 4 blue lights that light up both when the unit is being charged and when the unit is charging my device.  There is a really neat feature about this power bank that is unlike others I have used, it has a little, but bright, flashlight on it!  Just click the power button twice and it turns on.  I thought that was pretty neat and unique.  Overall, I am happy with the product and its performance.  I received this product complimentary in exchange for my honest and unbiased review.","Small, compact, quick charging",5,0,250
242,"Nolan Tx 3.5 mm (White) Generic Bluetooth Wireless Stereo Music Audio Transmitter Adapter for iPod, Zune, Zen, Sony Walkman, Sansa, Mp3 Players, Portable Music Audio Player, Notebook, Tablet, PSP, Nintendo 3DS, Car Stereo, TV, Blue Ray DVD without Cord Dangle Hassle",Wireless,"Works great with my iPad Mini. Would give it a 5 star except the dang thing doesn't stay put on the top on the mini. Not a major problem, a piece of Double stick foam tape and a rubber band solved the problem. I like it and I use it and would buy again for this price.<br />For the design engineers reading this ... if you had put a small &#34;dummy&#34; tab that fit into the contact slot on the top next to where this plugs in ... it would be perfect and not move about.",Almost perfect.,4,0,96
245,"Samsung Galaxy S6 Case,Utang TPU+PU Leather Case Skin Gel Protective Cover Case for Samsung Galaxy S6",Wireless,"So far i love this case.  Not bulky, protects phone from my clumsiness, and the case fits the phone perfectly.  It's not flashy.  Just right for me.  Delivery of the product was prompt.  No issues.  Quality good.",Great product.,5,0,43
248,Spigen Ultra Hybrid Galaxy S5 Case with Air Cushion Technology and Hybrid Drop Protection for Samsung Galaxy S5 2014 - Mint,Wireless,"This case has done it's job, as I have dropped my phone multiple times and no harm has been done. The only thing I don't care for is how dirty the part around the edge (mint green part) looks. I've tried cleaning it with cleaning products and it appears to be permanently stained.",The only thing I don't care for is how dirty the part around the edge (mint green part) looks,4,0,53
249,PYLE All Weather 5-Inch Trumpet Speaker,Wireless,love how loud it is even with out amp... hooked to cb and scared the hell out of everyone i yelled at .... small so its easy to put anywhere on truck..... id buy more if needed,love how loud it is even with out amp,5,1,37
251,"Amoner(TM) Durable-Series 3 Pack Classic White Extra long 8 pin Reversible USB Charge and Sync Data Cable 6 Feet(2 Meters)- Fits iPhone 6 6 plus, iPhone 5s 5c 5, iPad Air mini mini 2, iPad 4th generation, iPod 5th generation, and iPod nano 7th generation. Premium quality cords for home, office or travel -100% Satisfaction. No Annoying Error Messages. (Compatible with iOS8). Risk free warranty - on",Wireless,It was highly advertised that it doesn't give you any annoying error messages and guess what it does.  The length of the cords are great.,... was highly advertised that it doesn't give you any annoying error messages and guess what it does,3,0,26
255,LG Google Nexus 5 G2 D820 LCD Touch Screen Digitizer Assembly and Frame,Wireless,"Poor quality, would like a refund or a new one sent to me, till the nexus 5 2015 is available","Poor quality, would like a refund or a new ...",1,1,20
257,"Donatech 3ft Micro Charge Data Cable + Wall Charger Set Competible with Galaxy Note 4 , Note Edge, S3, S4, S6, S6 Edge Note 2 (Black)",Wireless,"Can't go wrong with an OEM charger.  In this case, I purchased it as a spare charger for my new Samsung S5",Can't go wrong with an OEM charger. In this ...,5,0,23
258,Genuine Samsung Note 4 Battery Kit,Wireless,"Battery and charger are great. There is no issues with it. I like how fast the charger is. It is well worth the money and the battery is oem. Overall,  great value.",Great value and OEM product.,5,0,33
260,"Unifix-Back Rear Main Camera Replacement Part for iPhone 6 4.7"" (All Carriers) + Tool Kit",Wireless,Bought this part for my friend who has an issue with his camera. He was able to fix it and works better than his original camera.,He was able to fix it and works better than his original camera,5,1,26
