,namn,antal,gender
901,Felicia,21908,flicknamn
902,Fanny,10654,flicknamn
903,Filippa,10616,flicknamn
904,Freja,6896,flicknamn
905,Fredrika,6753,flicknamn
906,Fatima,5397,flicknamn
907,Florence,2192,flicknamn
908,Frideborg,2004,flicknamn
909,Fatma,1604,flicknamn
910,Fatemeh,1397,flicknamn
911,Farah,1334,flicknamn
912,Fadumo,1061,flicknamn
913,Flora,1044,flicknamn
914,Fia,970,flicknamn
915,Freya,833,flicknamn
916,Fiona,805,flicknamn
917,Fatema,775,flicknamn
918,Frances,593,flicknamn
919,Francesca,567,flicknamn
920,Fernanda,514,flicknamn
921,Francisca,512,flicknamn
922,Farida,500,flicknamn
923,Faten,475,flicknamn
924,Fatou,459,flicknamn
925,Fredrica,450,flicknamn
926,Fariba,389,flicknamn
927,Fartun,381,flicknamn
928,Fadia,374,flicknamn
929,Franziska,366,flicknamn
930,Faduma,360,flicknamn
931,Fatimah,353,flicknamn
932,Fahima,349,flicknamn
933,Fatime,349,flicknamn
934,Florentina,346,flicknamn
935,Febe,345,flicknamn
936,Faiza,341,flicknamn
937,Fideli,328,flicknamn
938,Fannie,325,flicknamn
939,Felizia,305,flicknamn
940,Frieda,290,flicknamn
941,Fredriksdotter,287,flicknamn
942,Farhiya,283,flicknamn
943,Farzaneh,283,flicknamn
944,Felice,282,flicknamn
945,Fabiola,281,flicknamn
946,Farideh,276,flicknamn
947,Fatuma,261,flicknamn
948,Filiz,256,flicknamn
949,Feven,249,flicknamn
950,Faith,248,flicknamn
951,Franciska,244,flicknamn
952,Farhan,241,flicknamn
953,Fatme,237,flicknamn
954,Fardowsa,234,flicknamn
955,Fereshteh,227,flicknamn
956,Fadhil,224,flicknamn
957,Fadila,220,flicknamn
958,Feride,216,flicknamn
959,Faisal,209,flicknamn
960,Fina,209,flicknamn
961,Fouad,201,flicknamn
962,Francoise,199,flicknamn
963,Farhiyo,193,flicknamn
964,Farzana,188,flicknamn
965,Fathi,179,flicknamn
966,Farhia,178,flicknamn
967,Francine,176,flicknamn
968,Faisa,169,flicknamn
969,Fadime,167,flicknamn
970,Ferial,166,flicknamn
971,Friederike,162,flicknamn
972,Firas,158,flicknamn
973,Francis,152,flicknamn
974,Freyja,144,flicknamn
975,Fatiha,143,flicknamn
976,Farahnaz,142,flicknamn
977,Fikreta,140,flicknamn
978,Faraj,139,flicknamn
979,Franka,136,flicknamn
980,Fanni,135,flicknamn
981,Fatmire,134,flicknamn
982,Fawzi,134,flicknamn
983,Flor,133,flicknamn
984,Falah,132,flicknamn
985,Faris,132,flicknamn
986,Ferida,132,flicknamn
987,Florina,132,flicknamn
988,Freweini,132,flicknamn
989,Fehime,131,flicknamn
990,Fredrik,96313,pojknamn
991,Filip,27011,pojknamn
992,Folke,17415,pojknamn
993,Felix,14146,pojknamn
994,Frank,9247,pojknamn
995,Frans,7681,pojknamn
996,Fabian,6155,pojknamn
997,Fred,3626,pojknamn
998,Fritz,3173,pojknamn
999,Fredric,2314,pojknamn
1000,Ferdinand,2010,pojknamn
1001,Fadi,1775,pojknamn
1002,Franz,1694,pojknamn
1003,Fernando,1551,pojknamn
1004,Francisco,1535,pojknamn
1005,Freddy,1455,pojknamn
1006,Finn,1417,pojknamn
1007,Francis,1073,pojknamn
1008,Freddie,1042,pojknamn
1009,Fritiof,1040,pojknamn
1010,Frej,994,pojknamn
1011,Felipe,820,pojknamn
1012,Firas,799,pojknamn
1013,Farhad,797,pojknamn
1014,Frederik,789,pojknamn
1015,Farid,783,pojknamn
1016,Faisal,779,pojknamn
1017,Fouad,750,pojknamn
1018,Florian,720,pojknamn
1019,Fredrick,702,pojknamn
1020,Ferenc,615,pojknamn
1021,Farhan,614,pojknamn
1022,Farah,597,pojknamn
1023,Friedrich,579,pojknamn
1024,Francesco,568,pojknamn
1025,Fuad,554,pojknamn
1026,Feras,553,pojknamn
1027,Fritjof,545,pojknamn
1028,Fares,495,pojknamn
1029,Flemming,494,pojknamn
1030,Frederick,450,pojknamn
1031,Fridolf,447,pojknamn
1032,Faruk,446,pojknamn
1033,Faris,437,pojknamn
1034,Frode,437,pojknamn
1035,Florin,428,pojknamn
1036,Fahad,411,pojknamn
1037,Francois,390,pojknamn
1038,Fadil,349,pojknamn
1039,Franco,328,pojknamn
1040,Franciszek,318,pojknamn
1041,Fadhil,314,pojknamn
1042,Federico,307,pojknamn
1043,Falah,303,pojknamn
1044,Filmon,303,pojknamn
1045,Fingal,294,pojknamn
1046,Fabio,288,pojknamn
1047,Fawzi,285,pojknamn
1048,Frederic,281,pojknamn
1049,Filiph,277,pojknamn
1050,Fatih,276,pojknamn
1051,Faraj,273,pojknamn
1052,Fikret,262,pojknamn
1053,Farzad,256,pojknamn
1054,Fadel,251,pojknamn
1055,Frits,245,pojknamn
1056,Faysal,243,pojknamn
1057,Franklin,239,pojknamn
1058,Farouk,226,pojknamn
1059,Firat,224,pojknamn
1060,Fayez,223,pojknamn
1061,Fride,222,pojknamn
1062,Frithiof,220,pojknamn
1063,Fathi,217,pojknamn
1064,Fatmir,217,pojknamn
1065,Faik,215,pojknamn
1066,Ferhat,215,pojknamn
1067,Fahed,198,pojknamn
1068,Fehmi,196,pojknamn
1069,Fahim,187,pojknamn
1070,Fawaz,185,pojknamn
1071,Filipe,177,pojknamn
1072,Faiz,174,pojknamn
1073,Foad,172,pojknamn
1074,Fahmi,162,pojknamn
1075,Furkan,160,pojknamn
1076,Ferid,153,pojknamn
1077,Franciscus,153,pojknamn
1078,Frédéric,152,pojknamn
1079,Fidel,151,pojknamn
1080,Gunilla,53020,flicknamn
1081,Gun,31064,flicknamn
1082,Gunnel,22958,flicknamn
1083,Gerd,20043,flicknamn
1084,Gunvor,15438,flicknamn
1085,Gudrun,14595,flicknamn
1086,Greta,12156,flicknamn
1087,Gabriella,11769,flicknamn
1088,Gunhild,10030,flicknamn
1089,Gertrud,9676,flicknamn
1090,Gunborg,8839,flicknamn
1091,Gun-Britt,6759,flicknamn
1092,Gerda,3932,flicknamn
1093,Gulli,2762,flicknamn
1094,Gisela,2603,flicknamn
1095,Gull-Britt,2284,flicknamn
1096,Göta,2168,flicknamn
1097,Gunn,2138,flicknamn
1098,Gunbritt,2124,flicknamn
1099,Gurli,1960,flicknamn
1100,Gabriela,1911,flicknamn
1101,Gullan,1896,flicknamn
1102,Grace,1537,flicknamn
1103,Görel,1385,flicknamn
1104,Gabrielle,1357,flicknamn
1105,Gina,1268,flicknamn
1106,Gullvi,1188,flicknamn
1107,Gloria,1134,flicknamn
1108,Gunni,1037,flicknamn
1109,Gertie,980,flicknamn
1110,Gull,949,flicknamn
1111,Grazyna,940,flicknamn
1112,Gullbritt,856,flicknamn
1113,Gry,812,flicknamn
1114,Git,720,flicknamn
1115,Gunnarsdotter,704,flicknamn
1116,Gärd,691,flicknamn
1117,Gordana,666,flicknamn
1118,Gun-Marie,659,flicknamn
1119,Gunn-Britt,597,flicknamn
1120,Gitte,570,flicknamn
1121,Grethe,549,flicknamn
1122,Gladys,546,flicknamn
1123,Gill,531,flicknamn
1124,Georgina,510,flicknamn
1125,Galina,495,flicknamn
1126,Ghada,492,flicknamn
1127,Grete,487,flicknamn
1128,Gunda,462,flicknamn
1129,Gustava,456,flicknamn
1130,Gabriele,454,flicknamn
1131,Gunlög,423,flicknamn
1132,Georgia,421,flicknamn
1133,Göransdotter,415,flicknamn
1134,Gerty,405,flicknamn
1135,Gunvi,355,flicknamn
1136,Gullevi,342,flicknamn
1137,Ghazal,330,flicknamn
1138,Gunny,314,flicknamn
1139,Gull-Maj,312,flicknamn
1140,Gördis,301,flicknamn
1141,Graciela,287,flicknamn
1142,Gith,273,flicknamn
1143,Gretel,272,flicknamn
1144,Gun-Mari,269,flicknamn
1145,Gully,267,flicknamn
1146,Gittan,259,flicknamn
1147,Genet,258,flicknamn
1148,Geraldine,251,flicknamn
1149,Giovanna,245,flicknamn
1150,Ginger,242,flicknamn
1151,Georgette,230,flicknamn
1152,Gro,218,flicknamn
1153,Giulia,217,flicknamn
1154,Gunnie,202,flicknamn
1155,Gaby,191,flicknamn
1156,Guadalupe,185,flicknamn
1157,George,184,flicknamn
1158,Gun-Inger,183,flicknamn
1159,Gita,178,flicknamn
1160,Gerti,174,flicknamn
1161,Gul,170,flicknamn
1162,Gunnevi,168,flicknamn
1163,Gilda,167,flicknamn
1164,Gun-Lis,167,flicknamn
1165,Gertrude,164,flicknamn
1166,Gia,154,flicknamn
1167,Gun Britt,148,flicknamn
1168,Gemma,145,flicknamn
1169,Grethel,145,flicknamn
1170,Gunnar,106123,pojknamn
1171,Gustav,83364,pojknamn
1172,Göran,80796,pojknamn
1173,Gustaf,38662,pojknamn
1174,Gösta,26975,pojknamn
1175,Georg,19081,pojknamn
1176,Gabriel,18346,pojknamn
1177,Göte,11174,pojknamn
1178,Gert,9794,pojknamn
1179,George,6269,pojknamn
1180,Gerhard,5882,pojknamn
1181,Glenn,5430,pojknamn
1182,Greger,2985,pojknamn
1183,Gottfrid,2652,pojknamn
1184,Gilbert,2001,pojknamn
1185,Gillis,1811,pojknamn
1186,Georgios,1549,pojknamn
1187,Grzegorz,1419,pojknamn
1188,Goran,1325,pojknamn
1189,Gordon,1051,pojknamn
1190,Gotthard,959,pojknamn
1191,Görgen,944,pojknamn
1192,Georges,943,pojknamn
1193,Gideon,927,pojknamn
1194,Guy,908,pojknamn
1195,Giovanni,788,pojknamn
1196,Gunder,735,pojknamn
1197,Gary,718,pojknamn
1198,Gusten,688,pojknamn
1199,Ghassan,661,pojknamn
1200,Gerry,581,pojknamn
1201,Guillermo,571,pojknamn
1202,Gerard,557,pojknamn
1203,Gregor,548,pojknamn
1204,Gerth,514,pojknamn
1205,Gudmund,508,pojknamn
1206,Gustavo,506,pojknamn
1207,Günter,501,pojknamn
1208,Göthe,462,pojknamn
1209,Giuseppe,451,pojknamn
1210,Gheorghe,415,pojknamn
1211,Günther,403,pojknamn
1212,Gabor,397,pojknamn
1213,Grim,389,pojknamn
1214,Glen,388,pojknamn
1215,Gerald,374,pojknamn
1216,Gregory,373,pojknamn
1217,Gunnarsson,362,pojknamn
1218,Germund,341,pojknamn
1219,Gonzalo,336,pojknamn
1220,Gaston,335,pojknamn
1221,Gino,328,pojknamn
1222,Gholam,325,pojknamn
1223,Geir,318,pojknamn
1224,Ghazi,311,pojknamn
1225,Gunde,298,pojknamn
1226,Graham,293,pojknamn
1227,György,262,pojknamn
1228,Ghaith,256,pojknamn
1229,Gunno,241,pojknamn
1230,Gerardo,235,pojknamn
1231,Gert-Ove,224,pojknamn
1232,Gyula,217,pojknamn
1233,Gabi,214,pojknamn
1234,German,208,pojknamn
1235,Geoffrey,205,pojknamn
1236,Guido,201,pojknamn
1237,Guled,198,pojknamn
1238,Gunne,197,pojknamn
1239,Gökhan,188,pojknamn
1240,Georgi,186,pojknamn
1241,Giorgio,183,pojknamn
1242,Goitom,178,pojknamn
1243,Gert-Inge,173,pojknamn
1244,Ghulam,170,pojknamn
1245,Gullmar,166,pojknamn
1246,Guillaume,162,pojknamn
1247,Gavin,153,pojknamn
1248,Gunvald,152,pojknamn
1249,Gerardus,147,pojknamn
1250,Gábor,141,pojknamn
1251,Gert-Åke,139,pojknamn
1252,Ghazwan,137,pojknamn
1253,Gia,136,pojknamn
1254,Grant,134,pojknamn
1255,Gerd,131,pojknamn
1256,Gorm,128,pojknamn
1257,Gaby,127,pojknamn
1258,Gholamreza,125,pojknamn
1259,Garry,123,pojknamn
1260,Helena,82220,flicknamn
1261,Hanna,50340,flicknamn
1262,Helen,20576,flicknamn
1263,Helene,15761,flicknamn
1264,Helén,8856,flicknamn
1265,Harriet,8235,flicknamn
1266,Hilda,7781,flicknamn
1267,Hillevi,6957,flicknamn
1268,Hedvig,5902,flicknamn
1269,Hannah,5482,flicknamn
1270,Heléne,5171,flicknamn
1271,Hilma,4720,flicknamn
1272,Helga,4353,flicknamn
1273,Hannele,4130,flicknamn
1274,Hjördis,4099,flicknamn
1275,Henrietta,3466,flicknamn
1276,Heidi,3353,flicknamn
1277,Hedda,3039,flicknamn
1278,Hassan,2908,flicknamn
1279,Hildegard,2615,flicknamn
1280,Hussein,2347,flicknamn
1281,Henny,2209,flicknamn
1282,Hildur,2141,flicknamn
1283,Hulda,1842,flicknamn
1284,Hanan,1445,flicknamn
1285,Henriette,1375,flicknamn
1286,Hala,1223,flicknamn
1287,Hana,1223,flicknamn
1288,Hanne,1166,flicknamn
1289,Hasan,1080,flicknamn
1290,Huda,976,flicknamn
1291,Hiba,925,flicknamn
1292,Hilkka,918,flicknamn
1293,Halina,912,flicknamn
1294,Halima,834,flicknamn
1295,Helmi,825,flicknamn
1296,Hilde,725,flicknamn
1297,Holly,705,flicknamn
1298,Hellevi,701,flicknamn
1299,Herta,696,flicknamn
1300,Hailey,694,flicknamn
1301,Hermine,683,flicknamn
1302,Helin,648,flicknamn
1303,Heli,618,flicknamn
1304,Heba,614,flicknamn
1305,Hayat,558,flicknamn
1306,Hamdi,555,flicknamn
1307,Hansdotter,549,flicknamn
1308,Hilja,546,flicknamn
1309,Heléna,544,flicknamn
1310,Helle,538,flicknamn
1311,Hawa,518,flicknamn
1312,Hatice,512,flicknamn
1313,Hong,512,flicknamn
1314,Hani,499,flicknamn
1315,Helny,494,flicknamn
1316,Hodan,490,flicknamn
1317,Helené,485,flicknamn
1318,Hoda,473,flicknamn
1319,Hanaa,468,flicknamn
1320,Héléne,430,flicknamn
1321,Havanna,415,flicknamn
1322,Huong,408,flicknamn
1323,Hanin,399,flicknamn
1324,Hafsa,393,flicknamn
1325,Habiba,391,flicknamn
1326,Hedwig,391,flicknamn
1327,Helinä,390,flicknamn
1328,Helvi,375,flicknamn
1329,Henrika,374,flicknamn
1330,Hee,371,flicknamn
1331,Hellen,370,flicknamn
1332,Halimo,365,flicknamn
1333,Haji,361,flicknamn
1334,Hamid,357,flicknamn
1335,Hadi,329,flicknamn
1336,Hind,329,flicknamn
1337,Helfrid,327,flicknamn
1338,Hadil,326,flicknamn
1339,Ha,321,flicknamn
1340,Hope,321,flicknamn
1341,Hertha,312,flicknamn
1342,Hawo,307,flicknamn
1343,Hibo,300,flicknamn
1344,Hannelore,298,flicknamn
1345,Hameed,294,flicknamn
1346,Haya,284,flicknamn
1347,Hoa,279,flicknamn
1348,Houda,279,flicknamn
1349,Håkansdotter,279,flicknamn
1350,Hans,118318,pojknamn
1351,Henrik,61151,pojknamn
1352,Håkan,52680,pojknamn
1353,Hugo,30290,pojknamn
1354,Henry,20987,pojknamn
1355,Harry,19502,pojknamn
1356,Harald,14570,pojknamn
1357,Hampus,13003,pojknamn
1358,Helge,10078,pojknamn
1359,Hjalmar,9334,pojknamn
1360,Holger,9139,pojknamn
1361,Herman,8307,pojknamn
1362,Henning,8075,pojknamn
1363,Hassan,7976,pojknamn
1364,Hannes,6623,pojknamn
1365,Hussein,6061,pojknamn
1366,Herbert,5858,pojknamn
1367,Hilding,5146,pojknamn
1368,Helmer,4406,pojknamn
1369,Hasan,3585,pojknamn
1370,Henric,3041,pojknamn
1371,Hamid,2052,pojknamn
1372,Hamza,1984,pojknamn
1373,Hasse,1916,pojknamn
1374,Hans-Erik,1512,pojknamn
1375,Hubert,1477,pojknamn
1376,Heikki,1394,pojknamn
1377,Hadi,1371,pojknamn
1378,Hossein,1352,pojknamn
1379,Hannu,1172,pojknamn
1380,Hilmer,1070,pojknamn
1381,Henri,1027,pojknamn
1382,Harri,1016,pojknamn
1383,Hector,1014,pojknamn
1384,Heinz,997,pojknamn
1385,Hanna,994,pojknamn
1386,Habib,943,pojknamn
1387,Hans-Olof,906,pojknamn
1388,Haris,872,pojknamn
1389,Hussain,866,pojknamn
1390,Hamed,812,pojknamn
1391,Hani,775,pojknamn
1392,Hardy,751,pojknamn
1393,Haidar,736,pojknamn
1394,Hans-Åke,729,pojknamn
1395,Hermann,681,pojknamn
1396,Hendrik,651,pojknamn
1397,Henryk,627,pojknamn
1398,Harley,607,pojknamn
1399,Haider,596,pojknamn
1400,Halvar,592,pojknamn
1401,Heinrich,592,pojknamn
1402,Hans-Göran,570,pojknamn
1403,Helmut,568,pojknamn
1404,Husein,542,pojknamn
1405,Hashim,537,pojknamn
1406,Halvard,509,pojknamn
1407,Halil,507,pojknamn
1408,Hussam,492,pojknamn
1409,Horst,490,pojknamn
1410,Hüseyin,487,pojknamn
1411,Haitham,450,pojknamn
1412,Hung,448,pojknamn
1413,Hans-Olov,440,pojknamn
1414,Hans Erik,419,pojknamn
1415,Hernan,415,pojknamn
1416,Hayder,406,pojknamn
1417,Haji,401,pojknamn
1418,Harun,393,pojknamn
1419,Hazem,384,pojknamn
1420,Husam,384,pojknamn
1421,Hisham,383,pojknamn
1422,Hakim,378,pojknamn
1423,Haile,374,pojknamn
1424,Hadar,363,pojknamn
1425,Hoang,354,pojknamn
1426,Haydar,351,pojknamn
1427,Hameed,347,pojknamn
1428,Hakan,344,pojknamn
1429,Hemming,332,pojknamn
1430,Henok,332,pojknamn
1431,Hashem,318,pojknamn
1432,Hartvig,317,pojknamn
1433,Humberto,316,pojknamn
1434,Hamad,282,pojknamn
1435,Habtom,281,pojknamn
1436,Hanad,281,pojknamn
1437,Hhh,277,pojknamn
1438,Hans Åke,273,pojknamn
1439,Hatem,268,pojknamn
1440,Ingrid,114830,flicknamn
1441,Inger,71211,flicknamn
1442,Ida,51961,flicknamn
1443,Irene,42786,flicknamn
1444,Ingegerd,33362,flicknamn
1445,Inga,27276,flicknamn
1446,Ingeborg,24765,flicknamn
1447,Ingela,19869,flicknamn
1448,Ingegärd,18977,flicknamn
1449,Isabelle,15028,flicknamn
1450,Isabella,14675,flicknamn
1451,Iréne,11714,flicknamn
1452,Iris,11395,flicknamn
1453,Inga-Lill,10419,flicknamn
1454,Irma,8274,flicknamn
1455,Inez,7139,flicknamn
1456,Isabell,6911,flicknamn
1457,Ingalill,6807,flicknamn
1458,Isabel,5693,flicknamn
1459,Ing-Marie,4887,flicknamn
1460,Inga-Britt,4633,flicknamn
1461,Ing-Britt,3491,flicknamn
1462,Ines,3194,flicknamn
1463,Ilona,2612,flicknamn
1464,Isa,2493,flicknamn
1465,Ibrahim,2253,flicknamn
1466,Ina,2074,flicknamn
1467,Ingvor,2038,flicknamn
1468,Irina,1937,flicknamn
1469,Izabella,1915,flicknamn
1470,Inkeri,1885,flicknamn
1471,Irmeli,1811,flicknamn
1472,Iman,1730,flicknamn
1473,Ingbritt,1545,flicknamn
1474,Ing-Mari,1544,flicknamn
1475,Inga-Maj,1478,flicknamn
1476,Irena,1407,flicknamn
1477,Irja,1375,flicknamn
1478,Inga-Lisa,1360,flicknamn
1479,Idun,1334,flicknamn
1480,Ilse,1295,flicknamn
1481,Irené,1279,flicknamn
1482,Izabelle,1109,flicknamn
1483,Inga-Lena,1040,flicknamn
1484,Isolde,973,flicknamn
1485,Iwona,933,flicknamn
1486,Ivana,880,flicknamn
1487,Irén,840,flicknamn
1488,Izabela,833,flicknamn
1489,Ismail,793,flicknamn
1490,Ingmarie,724,flicknamn
1491,Iren,672,flicknamn
1492,IngMari,617,flicknamn
1493,Ia,614,flicknamn
1494,Indra,589,flicknamn
1495,Iza,532,flicknamn
1496,Isadora,526,flicknamn
1497,Ingemo,521,flicknamn
1498,Inge,506,flicknamn
1499,Izabell,500,flicknamn
1500,Israa,451,flicknamn
1501,Iva,447,flicknamn
1502,Isra,439,flicknamn
1503,Indira,414,flicknamn
1504,Irmgard,397,flicknamn
1505,Ioana,379,flicknamn
1506,Ilham,363,flicknamn
1507,Ingar,363,flicknamn
1508,Ifrah,329,flicknamn
1509,Ibtisam,314,flicknamn
1510,Iryna,313,flicknamn
1511,Inna,307,flicknamn
1512,Inga-Britta,301,flicknamn
1513,Inga-Lis,298,flicknamn
1514,Ismael,296,flicknamn
1515,Ildiko,287,flicknamn
1516,Ida-Maria,286,flicknamn
1517,Issa,286,flicknamn
1518,Irmelin,280,flicknamn
1519,Idil,278,flicknamn
1520,Imad,277,flicknamn
1521,Ingemarsdotter,260,flicknamn
1522,Ingert,259,flicknamn
1523,Ivy,257,flicknamn
1524,Inas,250,flicknamn
1525,Ikram,246,flicknamn
1526,Ioanna,246,flicknamn
1527,Ingabritt,241,flicknamn
1528,Iqra,229,flicknamn
1529,Ivonne,228,flicknamn
1530,Ingemar,56938,pojknamn
1531,Ingvar,38158,pojknamn
1532,Ivar,19910,pojknamn
1533,Inge,17625,pojknamn
1534,Isak,15108,pojknamn
1535,Ivan,11938,pojknamn
1536,Ibrahim,8877,pojknamn
1537,Ingmar,7025,pojknamn
1538,Isac,4804,pojknamn
1539,Ismail,2832,pojknamn
1540,Ian,2182,pojknamn
1541,Ilmari,2060,pojknamn
1542,Isaac,1781,pojknamn
1543,Isidor,1616,pojknamn
1544,Igor,1380,pojknamn
1545,Imad,1108,pojknamn
1546,Issa,1088,pojknamn
1547,Istvan,904,pojknamn
1548,Ioannis,854,pojknamn
1549,Ismael,828,pojknamn
1550,Idris,744,pojknamn
1551,Isa,677,pojknamn
1552,Imran,611,pojknamn
1553,Ismet,594,pojknamn
1554,Imre,573,pojknamn
1555,Ingvald,563,pojknamn
1556,Ilyas,555,pojknamn
1557,Ignacio,549,pojknamn
1558,Ioan,473,pojknamn
1559,Ivo,429,pojknamn
1560,Issam,422,pojknamn
1561,Ilias,408,pojknamn
1562,Ishak,403,pojknamn
1563,Ingolf,390,pojknamn
1564,Ivica,358,pojknamn
1565,Islam,356,pojknamn
1566,Ion,353,pojknamn
1567,Immanuel,342,pojknamn
1568,Ilkka,340,pojknamn
1569,Irfan,339,pojknamn
1570,Ilija,338,pojknamn
1571,Isam,330,pojknamn
1572,Israel,326,pojknamn
1573,Ihsan,322,pojknamn
1574,Ib,312,pojknamn
1575,Ismo,300,pojknamn
1576,Ihab,285,pojknamn
1577,Ionut,284,pojknamn
1578,Iyad,262,pojknamn
1579,Ilir,249,pojknamn
1580,Ingo,242,pojknamn
1581,Isse,238,pojknamn
1582,Ingemund,236,pojknamn
1583,Iwan,233,pojknamn
1584,Ireneusz,222,pojknamn
1585,Iman,220,pojknamn
1586,Ilari,202,pojknamn
1587,Ingeman,192,pojknamn
1588,Iii,181,pojknamn
1589,Isaak,177,pojknamn
1590,Izet,174,pojknamn
1591,Ilpo,171,pojknamn
1592,Ilja,168,pojknamn
1593,Ibraheem,162,pojknamn
1594,Iulian,161,pojknamn
1595,Ilhan,150,pojknamn
1596,Ilia,148,pojknamn
1597,Ivanov,145,pojknamn
1598,Izak,139,pojknamn
1599,Iisakki,138,pojknamn
1600,Ibrahem,135,pojknamn
1601,Ilya,129,pojknamn
1602,Iggy,127,pojknamn
1603,Ishaq,124,pojknamn
1604,Ilmar,121,pojknamn
1605,Ilon,121,pojknamn
1606,Idriz,117,pojknamn
1607,Iqbal,115,pojknamn
1608,István,114,pojknamn
1609,Irving,113,pojknamn
1610,Ingbert,112,pojknamn
1611,Ingevald,112,pojknamn
1612,Ionel,110,pojknamn
1613,Iraj,105,pojknamn
1614,Isaiah,101,pojknamn
1615,Iosif,96,pojknamn
1616,Ilie,94,pojknamn
1617,Ive,94,pojknamn
1618,Iain,90,pojknamn
1619,Iskender,89,pojknamn
1620,Johanna,72928,flicknamn
1621,Jenny,47427,flicknamn
1622,Julia,39043,flicknamn
1623,Jessica,26379,flicknamn
1624,Josefin,21518,flicknamn
1625,Josefine,18441,flicknamn
1626,Jeanette,16638,flicknamn
1627,Jennifer,12286,flicknamn
1628,Jennie,11418,flicknamn
1629,Josefina,8593,flicknamn
1630,Jane,6780,flicknamn
1631,Jonna,5683,flicknamn
1632,Joanna,5138,flicknamn
1633,Josephine,4794,flicknamn
1634,Jasmine,4682,flicknamn
1635,Janet,2908,flicknamn
1636,Juni,2767,flicknamn
1637,Judith,2691,flicknamn
1638,Jasmin,2447,flicknamn
1639,Joline,2397,flicknamn
1640,Jill,2342,flicknamn
1641,Julie,2189,flicknamn
1642,Jacqueline,2025,flicknamn
1643,Janina,1905,flicknamn
1644,Jessika,1835,flicknamn
1645,Judit,1787,flicknamn
1646,Jana,1446,flicknamn
1647,Jasmina,1424,flicknamn
1648,Jenni,1401,flicknamn
1649,Jaana,1395,flicknamn
1650,Jelena,1366,flicknamn
1651,Jolanta,1269,flicknamn
1652,Juliana,1250,flicknamn
1653,Joy,1120,flicknamn
1654,Jadwiga,975,flicknamn
1655,Johanne,971,flicknamn
1656,Justina,892,flicknamn
1657,Janette,853,flicknamn
1658,June,831,flicknamn
1659,Jamila,771,flicknamn
1660,Jenna,705,flicknamn
1661,Jean,660,flicknamn
1662,Juliette,653,flicknamn
1663,Jeannette,641,flicknamn
1664,Jannike,619,flicknamn
1665,Junie,614,flicknamn
1666,Justyna,610,flicknamn
1667,Jamal,586,flicknamn
1668,Jaqueline,582,flicknamn
1669,Janna,562,flicknamn
1670,Juno,550,flicknamn
1671,Joan,546,flicknamn
1672,Jannica,540,flicknamn
1673,Jessie,487,flicknamn
1674,Jansdotter,472,flicknamn
1675,Joyce,470,flicknamn
1676,Jeanne,455,flicknamn
1677,Johansdotter,385,flicknamn
1678,Jolin,383,flicknamn
1679,Jolie,377,flicknamn
1680,Julianna,376,flicknamn
1681,Jama,374,flicknamn
1682,Junis,351,flicknamn
1683,Jasim,349,flicknamn
1684,Jasminka,346,flicknamn
1685,Jabbar,341,flicknamn
1686,Jade,336,flicknamn
1687,Juli,333,flicknamn
1688,Jorunn,328,flicknamn
1689,Jennica,325,flicknamn
1690,Jannice,323,flicknamn
1691,Janeth,320,flicknamn
1692,Jin,317,flicknamn
1693,Jutta,316,flicknamn
1694,Jing,309,flicknamn
1695,Jolina,309,flicknamn
1696,Jannika,306,flicknamn
1697,Jackie,297,flicknamn
1698,Janni,293,flicknamn
1699,Juana,291,flicknamn
1700,Jytte,291,flicknamn
1701,Jonasdotter,286,flicknamn
1702,Jovana,284,flicknamn
1703,Juliet,283,flicknamn
1704,Janine,280,flicknamn
1705,Jolene,275,flicknamn
1706,Jawad,268,flicknamn
1707,Junia,266,flicknamn
1708,Jihan,254,flicknamn
1709,Jung,251,flicknamn
1710,Johan,174195,pojknamn
1711,Jan,128006,pojknamn
1712,John,68396,pojknamn
1713,Jonas,60745,pojknamn
1714,Joakim,39303,pojknamn
1715,Johannes,32287,pojknamn
1716,Jörgen,28898,pojknamn
1717,Jonathan,22907,pojknamn
1718,Jesper,21075,pojknamn
1719,Joel,20568,pojknamn
1720,Jens,18324,pojknamn
1721,Jimmy,17708,pojknamn
1722,Jakob,14677,pojknamn
1723,Jacob,13817,pojknamn
1724,Johnny,12000,pojknamn
1725,Josef,10890,pojknamn
1726,Jonny,10517,pojknamn
1727,Juhani,9556,pojknamn
1728,Jonatan,7886,pojknamn
1729,Jack,7410,pojknamn
1730,Jan-Erik,7313,pojknamn
1731,James,6707,pojknamn
1732,Julius,6637,pojknamn
1733,Jon,6346,pojknamn
1734,Jim,6271,pojknamn
1735,Jerry,5890,pojknamn
1736,Joachim,5486,pojknamn
1737,Jan-Olof,3817,pojknamn
1738,Joseph,3638,pojknamn
1739,Julian,3606,pojknamn
1740,Joacim,3581,pojknamn
1741,Jarl,3485,pojknamn
1742,Jean,3054,pojknamn
1743,Jerker,2716,pojknamn
1744,Juan,2593,pojknamn
1745,Jari,2464,pojknamn
1746,Jan-Åke,2440,pojknamn
1747,Junior,2437,pojknamn
1748,José,2225,pojknamn
1749,Jimmie,2104,pojknamn
1750,Jamal,2005,pojknamn
1751,Janne,1796,pojknamn
1752,Juha,1783,pojknamn
1753,Jose,1720,pojknamn
1754,Jorge,1550,pojknamn
1755,Jan-Olov,1501,pojknamn
1756,Jan Erik,1320,pojknamn
1757,Jamie,1319,pojknamn
